rank,uid,username,type,accompany,medal_name,medal_level
1,5850658,rofflecake,总督,141,恬豆包,29
2,495672142,豆奶粉头,提督,591,恬豆包,31
3,3546692863396694,顺顺栗栗1855,提督,296,恬豆包,30
4,2314835,KugimiyaNanase,提督,620,恬豆包,29
5,31798725,牛之七,提督,111,恬豆包,28
6,79614621,悲山秋雨落,提督,181,恬豆包,28
7,30502624,爱喝奶茶的发面馒头,提督,274,恬豆包,28
8,2941287,诊单告别纯良,提督,230,恬豆包,28
9,2794950,梦怡少年,提督,391,恬豆包,27
10,49855368,想起恐怖的事,提督,99,恬豆包,27
11,57134664,唯怡豆女乃,提督,171,恬豆包,27
12,36269533,君ゆゆゆ魚,提督,85,恬豆包,26
13,52126672,zara447,提督,168,恬豆包,26
14,356892,阿斯特赖亚丶,提督,71,恬豆包,26
15,5607033,睡觉是爱好吃饭是特长,提督,81,恬豆包,26
16,231051,蕾恩・玛格特洛依德,提督,141,恬豆包,25
17,7340111,栁長街,提督,52,恬豆包,25
18,149522,sed-i,舰长,591,恬豆包,29
19,385944,宝宝喝点水吧,舰长,420,恬豆包,29
20,12071021,纯良小羊,舰长,639,恬豆包,29
21,7833154,nothing-iwnl-,舰长,831,恬豆包,28
22,2482872,财前葵,舰长,500,恬豆包,28
23,2966435,叙星晨,舰长,711,恬豆包,28
24,411146226,豆请给我一斤糖炒栗子,舰长,650,恬豆包,28
25,400702,月神二号,舰长,660,恬豆包,28
26,39140611,海蓝丶胜者悲歌,舰长,424,恬豆包,28
27,378823,不染葵,舰长,298,恬豆包,28
28,1686289594,丸梨普贝当,舰长,990,恬豆包,28
29,431956406,我的颜栗只有你,舰长,441,恬豆包,28
30,124003269,曲婉的小跟班,舰长,404,恬豆包,27
31,59955258,这个昵称已经有鬼用过了,舰长,314,恬豆包,27
32,26892910,大于3个小于30个字符,舰长,1116,恬豆包,27
33,43667411,蒼のエーテル,舰长,573,恬豆包,27
34,491121103,绯桂大好き,舰长,427,恬豆包,27
35,32438573,自爆前的沙鲁,舰长,495,恬豆包,27
36,38600609,二月暨望,舰长,244,恬豆包,27
37,4464599,天曦,舰长,548,恬豆包,27
38,97097355,大夢惊鸿,舰长,432,恬豆包,27
39,57116,郭德纲,舰长,255,恬豆包,27
40,102748146,我要发动我的技能,舰长,493,恬豆包,27
